DayofMonth str,DayOfWeek str,FlightDate int,UniqueCarrier str,AirlineID int,Carrier str,TailNum str,FlightNum int,OriginAirportID int,OriginAirportSeqID int,OriginCityMarketID int,Origin str,OriginCityName str,OriginState str,OriginStateFips int,OriginStateName str,OriginWac int
18,2,20121218,AA,19805,AA,N436AA,305,12953,1295302,31703,LGA,NewYorkNY,NY,36,NewYork,22
26,3,20121226,US,20355,US,N163US,1527,13204,1320402,31454,MCO,OrlandoFL,FL,12,Florida,33
28,5,20121228,EV,20366,EV,N15555,4352,11618,1161802,31703,EWR,NewarkNJ,NJ,34,NewJersey,21
6,4,20121206,OO,20304,OO,N295SW,5358,12892,1289203,32575,LAX,LosAngelesCA,CA,6,California,91
27,4,20121227,WN,19393,WN,N476WN,4602,12892,1289203,32575,LAX,LosAngelesCA,CA,6,California,91
24,1,20121224,WN,19393,WN,N735SA,1410,13198,1319801,33198,MCI,KansasCityMO,MO,29,Missouri,64
9,7,20121209,DL,19790,DL,N949DL,2337,10397,1039705,30397,ATL,AtlantaGA,GA,13,Georgia,34
14,3,20121114,AA,19805,AA,N339AA,181,12478,1247802,31703,JFK,NewYorkNY,NY,36,NewYork,22
14,5,20121214,OO,20304,OO,N641CA,4601,14869,1486903,34614,SLC,SaltLakeCityUT,UT,49,Utah,87
25,2,20121225,AA,19805,AA,N3BCAA,674,14679,1467903,33570,SAN,SanDiegoCA,CA,6,California,91
4,2,20121204,EV,20366,EV,N751EV,5338,11278,1127802,30852,DCA,WashingtonDC,VA,51,Virginia,38
11,2,20121211,OO,20304,OO,N794SK,6228,11292,1129202,30325,DEN,DenverCO,CO,8,Colorado,82
21,5,20121221,WN,19393,WN,N511SW,3694,12191,1219102,31453,HOU,HoustonTX,TX,48,Texas,74
10,1,20121210,UA,19977,UA,N24224,1504,12266,1226603,31453,IAH,HoustonTX,TX,48,Texas,74
31,1,20121231,EV,20366,EV,N398CA,4888,10397,1039705,30397,ATL,AtlantaGA,GA,13,Georgia,34
5,3,20121205,MQ,20398,MQ,N643MQ,3597,11995,1199502,31995,GSO,Greensboro/HighPointNC,NC,37,NorthCarolina,36
3,1,20121203,OO,20304,OO,N609SK,4452,12892,1289203,32575,LAX,LosAngelesCA,CA,6,California,91
21,5,20121221,WN,19393,WN,N768SW,4256,11292,1129202,30325,DEN,DenverCO,CO,8,Colorado,82
18,2,20121218,WN,19393,WN,N242WN,2874,14107,1410702,30466,PHX,PhoenixAZ,AZ,4,Arizona,81
9,7,20121209,EV,20366,EV,N710EV,4929,12339,1233904,32337,IND,IndianapolisIN,IN,18,Indiana,42
15,6,20121215,WN,19393,WN,N386SW,4858,13232,1323202,30977,MDW,ChicagoIL,IL,17,Illinois,41
2,7,20121202,AA,19805,AA,N3FXAA,526,13495,1349502,33495,MSY,NewOrleansLA,LA,22,Louisiana,72
14,5,20121214,AA,19805,AA,N4YDAA,1262,14107,1410702,30466,PHX,PhoenixAZ,AZ,4,Arizona,81
24,1,20121224,AS,19930,AS,N551AS,210,14747,1474703,30559,SEA,SeattleWA,WA,53,Washington,93
6,4,20121206,FL,20437,FL,N989AT,62,10397,1039705,30397,ATL,AtlantaGA,GA,13,Georgia,34
15,6,20121215,B6,20409,B6,N265JB,572,14027,1402702,34027,PBI,WestPalmBeach/PalmBeachFL,FL,12,Florida,33
12,3,20121212,EV,20366,EV,N695CA,5372,13487,1348702,31650,MSP,MinneapolisMN,MN,27,Minnesota,63
17,1,20121217,WN,19393,WN,N457WN,3725,10821,1082103,30852,BWI,BaltimoreMD,MD,24,Maryland,35
10,1,20121210,OO,20304,OO,N466SW,2642,12892,1289203,32575,LAX,LosAngelesCA,CA,6,California,91
16,7,20121216,WN,19393,WN,N948WN,1275,11292,1129202,30325,DEN,DenverCO,CO,8,Colorado,82
3,1,20121203,F9,20436,F9,N912FR,566,14679,1467903,33570,SAN,SanDiegoCA,CA,6,California,91
16,7,20121216,UA,19977,UA,N561UA,411,13930,1393002,30977,ORD,ChicagoIL,IL,17,Illinois,41
21,5,20121221,AA,19805,AA,N4YUAA,1216,11298,1129803,30194,DFW,Dallas/FortWorthTX,TX,48,Texas,74
