DayofMonth str,DayOfWeek str,FlightDate int,UniqueCarrier str,AirlineID int,Carrier str,TailNum str,FlightNum int,OriginAirportID int,OriginAirportSeqID int,OriginCityMarketID int,Origin str,OriginCityName str,OriginState str,OriginStateFips int,OriginStateName str,OriginWac int
18.0,2.0,2.0121218E7,AA,19805.0,AA,N436AA,305.0,12953.0,1295302.0,31703.0,LGA,NewYorkNY,NY,36.0,NewYork,22.0
26.0,3.0,2.0121226E7,US,20355.0,US,N163US,1527.0,13204.0,1320402.0,31454.0,MCO,OrlandoFL,FL,12.0,Florida,33.0
28.0,5.0,2.0121228E7,EV,20366.0,EV,N15555,4352.0,11618.0,1161802.0,31703.0,EWR,NewarkNJ,NJ,34.0,NewJersey,21.0
6.0,4.0,2.0121206E7,OO,20304.0,OO,N295SW,5358.0,12892.0,1289203.0,32575.0,LAX,LosAngelesCA,CA,6.0,California,91.0
27.0,4.0,2.0121228E7,WN,19393.0,WN,N476WN,4602.0,12892.0,1289203.0,32575.0,LAX,LosAngelesCA,CA,6.0,California,91.0
24.0,1.0,2.0121224E7,WN,19393.0,WN,N735SA,1410.0,13198.0,1319801.0,33198.0,MCI,KansasCityMO,MO,29.0,Missouri,64.0
9.0,7.0,2.0121208E7,DL,19790.0,DL,N949DL,2337.0,10397.0,1039705.0,30397.0,ATL,AtlantaGA,GA,13.0,Georgia,34.0
14.0,3.0,2.0121114E7,AA,19805.0,AA,N339AA,,12478.0,1247802.0,31703.0,JFK,NewYorkNY,NY,36.0,NewYork,22.0
14.0,5.0,2.0121214E7,OO,20304.0,OO,N641CA,,14869.0,1486903.0,34614.0,SLC,SaltLakeCityUT,UT,49.0,Utah,87.0
25.0,2.0,2.0121224E7,AA,19805.0,AA,N3BCAA,674.0,14679.0,1467903.0,33570.0,SAN,SanDiegoCA,CA,6.0,California,91.0
4.0,2.0,2.0121204E7,EV,20366.0,EV,N751EV,5338.0,11278.0,1127802.0,30852.0,DCA,WashingtonDC,VA,51.0,Virginia,38.0
11.0,2.0,2.0121212E7,OO,20304.0,OO,,6228.0,11292.0,1129202.0,30325.0,DEN,DenverCO,CO,8.0,Colorado,82.0
21.0,5.0,2.012122E7,WN,19393.0,WN,N511SW,3694.0,12191.0,1219102.0,31453.0,HOU,HoustonTX,TX,48.0,Texas,74.0
10.0,1.0,2.012121E7,UA,19977.0,UA,N24224,1504.0,12266.0,1226603.0,31453.0,IAH,HoustonTX,TX,48.0,Texas,74.0
31.0,1.0,2.0121232E7,EV,20366.0,EV,N398CA,4888.0,10397.0,1039705.0,30397.0,ATL,AtlantaGA,GA,13.0,Georgia,34.0
5.0,3.0,2.0121204E7,MQ,20398.0,MQ,N643MQ,3597.0,11995.0,1199502.0,31995.0,GSO,Greensboro/HighPointNC,NC,37.0,NorthCarolina,36.0
3.0,1.0,2.0121204E7,OO,20304.0,OO,N609SK,4452.0,12892.0,1289203.0,32575.0,LAX,LosAngelesCA,CA,6.0,California,91.0
21.0,5.0,2.012122E7,WN,19393.0,WN,,4256.0,11292.0,1129202.0,30325.0,DEN,DenverCO,CO,8.0,Colorado,82.0
18.0,2.0,2.0121218E7,WN,19393.0,WN,N242WN,2874.0,14107.0,1410702.0,30466.0,PHX,PhoenixAZ,AZ,4.0,Arizona,81.0
9.0,7.0,2.0121208E7,EV,20366.0,EV,N710EV,4929.0,12339.0,1233904.0,32337.0,IND,IndianapolisIN,IN,18.0,Indiana,42.0
15.0,6.0,2.0121216E7,WN,19393.0,WN,N386SW,,13232.0,1323202.0,30977.0,MDW,ChicagoIL,IL,17.0,Illinois,41.0
2.0,7.0,2.0121202E7,AA,19805.0,AA,N3FXAA,526.0,13495.0,1349502.0,33495.0,MSY,NewOrleansLA,LA,22.0,Louisiana,72.0
14.0,5.0,2.0121214E7,AA,19805.0,AA,N4YDAA,1262.0,14107.0,1410702.0,30466.0,PHX,PhoenixAZ,AZ,4.0,Arizona,81.0
