ProviderNumber String,HospitalName String,City String,State String,ZIPCode str,CountyName String,PhoneNumber String,HospitalType String,HospitalOwner String,EmergencyService String,Condition String,MeasureCode String,MeasureName String,Sample String,StateAvg String
10019,HELEN KELLER MEMORIAL HOSPITAL,SHEFFIELD,AL,35660.0,JEFFERSON,,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival,,AL_AMI-1
10019,HELEN KELLER MEMORIAL HOSPITAL,SHEFFIELD,,35660.0,JEFFERSON,,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge,13 patients,AL_AMI-2
,HELEN KELLER MEMORIAL HOSPITAL,SHEFFIELD,,35660.0,JEFFERSON,2563864556.0,Acute Care Hospitals,Government - Hospital District or Authority,,Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),4 patients,AL_AMI-3
10019,HELEN KELLER MEMORIAL HOSPITAL,SHEFFIELD,AL,35660.0,JEFFERSON,2563864556.0,Acute Care Hospitals,,Yes,Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,4 patients,AL_AMI-4
,HELEN KELLER MEMORIAL HOSPITAL,SHEFFIELD,AL,35660.0,,2563864556.0,,Government - Hospital District or Authority,Yes,,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,14 patients,AL_AMI-5
10019,HELEN KELLER MEMORIAL HOSPITAL,SHEFFIELD,AL,35660.0,JEFFERSON,2563864556.0,,Government - Hospital District or Authority,Yes,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,0 patients,AL_AMI-7A
10019,HELEN KELLER MEMORIAL HOSPITAL,SHEFFIELD,AL,35660.0,JEFFERSON,2563864556.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,0 patients,AL_AMI-8A
10019,HELEN KELLER MEMORIAL HOSPITAL,SHEFFIELD,AL,35660.0,JEFFERSON,2563864556.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions,114 patients,
10019,HELEN KELLER MEMORIAL HOSPITAL,SHEFFIELD,AL,35660.0,JEFFERSON,2563864556.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Failure,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,149 patients,AL_HF-2
10019,HELEN KELLER MEMORIAL HOSPITAL,SHEFFIELD,AL,35660.0,JEFFERSON,2563864556.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),37 patients,
